1,70
2,84
3,39
4,82
5,54
6,55
7,59
8,68
9,38
10,2
11,6
12,25
13,56
14,62
15,40
16,93
17,91
18,59
19,85
20,85
21,4
22,40
23,52
24,34
25,57
26,6
27,46
28,59
29,81
30,77
31,71
32,88
33,37
34,11
35,66
36,26
37,25
38,78
39,21
40,87
41,3
42,89
43,9
44,91
45,8
46,91
47,3
48,41
49,52
50,79
51,13
52,36
53,97
54,12
55,96
56,25
57,53
58,57
59,30
60,32
61,1
62,90
63,69
64,39
65,2
66,51
67,54
68,26
69,53
70,29
71,57
72,88
73,19
74,38
75,30
76,2
77,28
78,88
79,17
80,44
81,2
82,24
83,31
84,73
85,74
86,90
87,88
88,97
89,14
90,13
91,34
92,38
93,22
94,29
95,24
96,94
97,13
98,60
99,64
100,85
101,33
102,7
103,11
104,35
105,87
106,86
107,97
108,18
109,52
110,67
111,42
112,33
113,95
114,95
115,69
116,12
117,96
118,2
119,84
120,60
121,72
122,50
123,86
124,12
125,41
